bus_i,name,base_kv,ide,area,zone,vm,va
24276,中崙光D,23.9,2,1,102,0.99123,-43.4557
24302,常德光D,23.9,2,1,102,0.99203,-41.7406
24306,華陰光D,23.9,2,1,102,0.99633,-40.5409
24308,建國光D,23.9,2,1,102,0.99168,-40.7838
24310,虎林光D,23.9,2,1,102,1.00191,-39.9732
24314,福和光D2,23.9,2,1,102,0.99224,-38.0268
24352,中正光D,23.9,2,1,102,1.00221,-40.6255
24354,青年光D,23.9,2,1,102,1.00255,-41.7776
24358,南海光D,23.9,2,1,102,0.99354,-43.3548
24360,成都光D,23.9,2,1,102,0.99279,-43.368
24362,城中光D,23.9,2,1,102,1.00117,-40.178
24402,臥龍光D,23.9,2,1,102,0.99758,-40.7425
24404,秀朗光D,23.9,2,1,102,1.00187,-39.6865
24410,三張光D,23.9,2,1,102,1.00156,-41.1389
24412,大豐光D,23.9,2,1,102,0.99926,-40.9499
24426,世貿光D,23.9,2,1,102,1.00227,-39.9991
24438,七張光D,23.9,2,1,102,0.99389,-39.1409
24506,化成光D,23.9,2,1,102,1.00299,-41.5566
24508,二重光D,23.9,2,1,102,0.99783,-41.2781
24514,重新光D,23.9,2,1,102,1.00503,-41.1402
24528,頭前光D,23.9,2,1,102,1.00497,-42.5653
24552,頂埔光D1,23.9,2,1,102,0.99666,-40.8464
24554,頂埔光D2,23.9,2,1,102,0.99429,-40.5946
24558,信南光D,23.9,2,1,102,0.99665,-44.3152
24560,安康光D,23.9,2,1,102,0.99996,-39.5929
24564,柑園光D,23.9,2,1,102,0.99459,-39.0148
24568,新民光D,23.9,2,1,102,0.99327,-44.4216
24574,景星光D,23.9,2,1,102,1.00106,-40.5679
24576,社后光D,23.9,2,1,102,0.9927,-42.2002
24584,隆恩光D,23.9,2,1,102,0.99578,-38.7039
24602,林中光D,23.9,2,1,102,1.00443,-41.2652
24604,坪頂光D,23.9,2,1,102,0.99567,-37.9462
24608,迴龍光D,23.9,2,1,102,0.99269,-40.8952
24612,南崁光D,23.9,2,1,102,1.00191,-36.5387
24614,宏安光D,23.9,2,1,102,1.00353,-40.4429
24618,興珍光D,23.9,2,1,102,1.00411,-40.327
24626,板城光D,23.9,2,1,102,0.99132,-41.3099
24628,福營光D,23.9,2,1,102,0.99482,-40.142
24630,樹林光D,23.9,2,1,102,1.00578,-40.319
24636,樂善光D,23.9,2,1,102,0.99859,-39.8901
24638,泰山光D,23.9,2,1,102,1.00219,-38.1634
24640,長安光D,23.9,2,1,102,1.00312,-37.1817
24650,南興光D,23.9,2,1,102,1.00486,-36.3112
24652,福海光D,23.9,2,1,102,1.00365,-33.0131
24702,中大光D,23.9,2,1,102,0.99737,-30.4899
24704,興國光D,23.9,2,1,102,0.99765,-31.7494
24706,宋屋光D,23.9,2,1,102,0.99855,-32.1262
24710,五權光D,23.9,2,1,102,1.0013,-38.2284
24712,中原光D,23.9,2,1,102,1.00256,-37.6648
24714,自立光D,23.9,2,1,102,0.99651,-36.1909
24716,忠福光D,23.9,2,1,102,0.99321,-30.2688
24752,富岡光D,23.9,2,1,102,0.99115,-29.9553
24754,榮成光D,23.9,2,1,102,0.99095,-28.5183
24756,白玉光D,23.9,2,1,102,1.00113,-28.8178
24758,塘尾光D,23.9,2,1,102,1.00136,-29.0453
24760,保生光D,23.9,2,1,102,1.00009,-27.7269
24764,長發光D,23.9,2,1,102,1.00065,-29.4336
24802,東社光D,23.9,2,1,102,0.99891,-39.1714
24806,聖亭光D,23.9,2,1,102,1.00449,-36.4879
24812,高揚光D,23.9,2,1,102,1.00357,-37.0193
24814,瑞源光D,23.9,2,1,102,0.9958,-37.1713
24816,新工光D,23.9,2,1,102,0.99794,-30.6008
24818,楊梅光D,23.9,2,1,102,1.00022,-32.2708
24820,龍顯光D,23.9,2,1,102,1.00028,-34.9736
24822,湖北光D,23.9,2,1,102,0.99109,-30.9847
24824,中豐光D,23.9,2,1,102,1.00455,-39.6616
24840,新崙光D,23.9,2,1,102,0.99081,-27.6423
24902,青溪光D,23.9,2,1,102,0.99585,-40.4314
24904,介壽光D,23.9,2,1,102,1.00008,-38.7567
24908,武陵光D,23.9,2,1,102,0.99658,-40.5511
24910,桃園光D,23.9,2,1,102,1.00436,-38.4018
24922,鳳鳴光D,23.9,2,1,102,0.99993,-39.5063
24990,公園光D,23.9,2,1,102,0.99215,-31.717
24992,境福光D,23.9,2,1,102,0.99794,-30.8887
24994,潭後光D,23.9,2,1,102,0.99263,-30.2674
24996,六家光D,23.9,2,1,102,0.99639,-32.7043
24998,新豐光D,23.9,2,1,102,1.00177,-30.9264
25000,隘口光D,23.9,2,1,102,1.00165,-31.2702
25004,龍梅光D,23.9,2,2,104,0.99886,-33.3214
25006,龍山光D,23.9,2,2,104,1.00069,-32.6372
25014,營盤光D,23.9,2,2,104,1.00092,-28.7803
25018,龍松光D,23.9,2,2,104,0.99499,-32.318
25022,頂園光D,23.9,2,2,104,1.00137,-28.4503
25024,山佳光D,23.9,2,2,104,0.99945,-29.4649
25026,蟠桃光D,23.9,2,2,104,1.00452,-28.7543
25028,房裡光D,23.9,2,2,104,0.99468,-20.7042
25056,朝山光D,23.9,2,2,104,0.99556,-27.1299
25080,糖科光D,23.9,2,2,104,0.99957,-27.9345
25092,龍明光D,23.9,2,2,104,0.99714,-32.8821
25098,樹下光D,23.9,2,2,104,0.99465,-26.0463
25108,樟樹光D,23.9,2,2,104,0.99707,-20.9858
25502,潭南光D,23.9,2,2,104,0.99548,-25.562
